model,stage,accuracy,precision,recall,threshold,params_json,meets_accuracy_floor,accuracy_floor,model_path
logistic_regression,optimized_search,0.843875,0.7800353356890459,0.7016289233214144,0.52,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.84325,0.7848443843031123,0.6912991656734208,0.53,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.841375,0.787292817679558,0.6793802145411204,0.54,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.84075,0.793022159358793,0.6682558601509734,0.55,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.839,0.7955747955747956,0.6571315057608264,0.56,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.8365,0.799405646359584,0.6412395709177592,0.57,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.83475,0.8028383172833249,0.6293206197854588,0.58,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.8345,0.8114882506527415,0.6174016686531585,0.59,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.833625,0.8184747583243824,0.6054827175208581,0.6,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.832,0.8217224355458036,0.5951529598728645,0.61,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.830875,0.8247767857142857,0.5872069924513309,0.62,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.829375,0.826530612244898,0.5792610250297974,0.63,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.826625,0.8277262180974478,0.5669447755264203,0.64,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.82575,0.8320520402128918,0.5589988081048868,0.65,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.824,0.8358570563294972,0.5482717520858165,0.66,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.82225,0.8385899814471243,0.5387365911799762,0.67,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.821,0.8431372549019608,0.5295987286452125,0.68,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.819875,0.8498049414824448,0.5192689709972189,0.69,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.816625,0.8509358288770054,0.5057608263806118,0.7,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.81475,0.8556701030927835,0.49463647199046484,0.71,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.811875,0.8583569405099151,0.48152562574493446,0.72,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.810625,0.8646288209606987,0.4719904648390942,0.73,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.80775,0.8699924414210128,0.45729042510925705,0.74,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.805,0.8758837391987431,0.44298768375049663,0.75,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.80125,0.8802296964725185,0.42630115216527614,0.76,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.798,0.8847139197267293,0.411601112435439,0.77,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.79675,0.896,0.40047675804529204,0.78,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
logistic_regression,optimized_search,0.794,0.9004608294930876,0.388160508541915,0.79,"{""C"": 1.0, ""class_weight"": null}",False,0.8545,
